address,latlng,name,storeType
台北市信義區永吉路380號1樓,"25.0453919,121.5774002",台北_永吉(特約服務中心)2,特約
台北市士林區中正路298號,"25.0950056,121.52416700000003",台北士林(服務中心),直營
台北市士林區天母西路35號,"25.1185808,121.52764209999998",台北天母(服務中心)2,直營
台北市士林區延平北路五段259號,"25.0849827,121.50963189999993",台北延平北(服務中心)2,直營
台北市士林區德行東路197之1號,"25.1090874,121.5319699",士林德行東(服務中心),直營
台北市士林區文林路152號,"25.0889815,121.5267453",士林夜市(服務中心)2,直營
台北市內湖區東湖路136號1樓,"25.0679686,121.61676590000002",台北東湖(服務中心),直營
台北市內湖區成功路四段54號,"25.0820612,121.5921949",內湖成功(服務中心)2,直營
台北市內湖區內湖路一段315號,"25.0821952,121.5676168",台北西湖(服務中心),直營
台北市北投區光明路167之1號,"25.1358933,121.5036417",北投光明(服務中心),直營
台北市北投區石牌路二段39號1樓,"25.1160965,121.51564069999995",台北石牌(服務中心),直營
台北市北投區明德路109號,"25.109692,121.5197737",北投明德(服務中心),直營
台北市北投區中和街296號,"25.1406428,121.5001522",北投中和(服務中心),直營
台北市南港區忠孝東路六段390號1樓,"25.0500121,121.59297240000001",台北昆陽(服務中心),直營
台北市南港區南港路一段145號,"25.055085,121.613853",台北南港(服務中心),直營
台北市南港區玉成街132號,"25.0450075,121.5830008",台北後山埤(服務中心),直營
台北市文山區興隆路三段132號,"24.9988919,121.55784760000006",台北萬芳(服務中心),直營
台北市文山區羅斯福路六段226號,"24.9927028,121.54047800000001",台北景美(服務中心),直營
台北市文山區木柵路三段87號,"24.988832,121.56775",台北木柵(服務中心),直營
台北市文山區木新路3段182號,"24.9816456,121.560474",台北木新(服務中心),直營
新北市汐止區中興路192號,"25.065862,121.63164499999993",汐止中興(服務中心),直營
新北市汐止區忠孝東路293號,"25.068760,121.664131",汐止忠孝東(服務中心),直營
新北市汐止區新台五路一段198號,"25.062735,121.655195",汐止新台(服務中心),直營
新北市板橋區文化路二段396號1樓,"25.0313167,121.4739131",板橋江子翠(服務中心),直營
新北市板橋區中山路二段144號,"25.016921,121.47655299999997",板橋埔墘(服務中心),直營
新北市板橋區府中路83號,"25.009362,121.45725100000004",板橋府中(服務中心),直營
新北市板橋區四川路一段257號,"25.002642, 121.459745",板橋四川(服務中心),直營
新北市板橋區四維路288號,"25.029496, 121.463060",板橋四維(服務中心),直營
新北市板橋區文化路一段290號,"25.0216037,121.4674492",板橋新埔(服務中心),直營
新北市板橋區四川路二段43號,"24.9953805,121.4541017",板橋亞東(服務中心),直營
新北市板橋區中正路192號,"25.0179009,121.4560625",板橋中正(服務中心),直營
新北市板橋區三民路二段139號,"25.0152034,121.4793863",板橋_三民(特約服務中心)3,特約
新北市板橋區南雅南路一段64號,"25.0052851,121.45540860000006",板橋_南雅南(特約服務中心)2,特約
新北市新店區中正路145號1樓,"24.9716459,121.54139800000007",新店中正(服務中心),直營
新北市新店區北新路二段149號,"24.975989,121.54271",新店七張(服務中心),直營
新北市新店區安康路二段171號,"24.9606042,121.5119127",新店安康(服務中心),直營
新北市新店區北新路三段152號1樓,"24.9826577,121.5414458",新店北新(服務中心),直營
新北市新店區北新路一段257號1樓,"24.9663677,121.5385823",新店_區公所(特約服務中心),特約
新北市新店區中正路323號1樓,"24.9752124,121.5362796",新店_耕莘(特約服務中心),特約
新北市永和區中正路306號,"24.9992291,121.51739220000002",永和中正(服務中心),直營
新北市永和區得和路377號,"24.999413,121.5248",永和得和(服務中心),直營
新北市永和區福和路180號,"25.008233, 121.520585",永和福和(服務中心)2,直營
新北市永和區中山路一段206號,"25.0086005,121.5086963",永和中山(服務中心),直營
新北市永和區永和路一段160號,"25.0085388,121.5140378",永和樂華(服務中心),直營
新北市永和區永和路二段205號,"25.0137564,121.5153248",永和頂溪(服務中心)2,直營
新北市中和區中和路442號,"25.003603,121.511985",中和永安(服務中心),直營
新北市中和區中和路157號,"24.9997934,121.5026806",中和中和(服務中心),直營
新北市中和區連城路328號1樓,"24.9959191,121.4832368",中和連城(服務中心),直營
新北市中和區景安路175-1號,"24.9940311,121.5052408",中和景安(服務中心),直營
新北市中和區興南路一段70號,"24.9901606,121.5105969",中和南勢角(服務中心),直營
新北市中和區員山路275號1樓,"24.999554,121.48118199999999",中和_員山二(特約服務中心),特約
新北市中和區中山路3段139號,"25.006004,121.474038",中和_環球(特約服務中心),特約
新北市樹林區中山路一段14號,"24.992779,121.42404299999998",樹林中山(服務中心),直營
新北市三峽區大學路162號,"24.9470829,121.3721078",三峽北大(服務中心),直營
新北市三峽區民生街106-1號,"24.935295,121.373346",三峽民生(服務中心),直營
新北市三峽區復興路46-1號,"24.9369614,121.37377949999996",三峽_復興(特約服務中心),特約
新北市土城區裕民路135號,"24.9864268,121.45160370000008",土城裕民(服務中心),直營
新北市土城區中央路二段228號,"24.9752255,121.4420455",土城中央(服務中心),直營
新北市土城區明德路一段12號,"24.9851603,121.4648208",土城明德(服務中心),直營
新北市土城區中央路二段99號,"24.977859,121.44232920000002",大呼小叫-土城_中央二(特約服務中心),特約
新北市土城區金城路三段169號,"24.987534,121.46741429999997",土城_金城三(特約服務中心),特約
新北市土城區學府路一段60號1樓,"24.9885061,121.45723670000007",土城_學府(特約服務中心)3,特約
新北市鶯歌區建國路219號,"24.95342,121.34852799999999",大呼小叫-鶯歌_建國二(特約服務中心),特約
新北市新莊區中平路371號1樓及地下室,"25.052307,121.444537",新莊中平(服務中心),直營
新北市新莊區民安西路222號,"25.0145951,121.4257865",新莊西盛(服務中心),直營
新北市新莊區昌平街36號,"25.053086, 121.454896",新莊昌平(服務中心),直營
新北市新莊區幸福路657號1F及B1,"25.0491989,121.4509539",新莊幸福(服務中心),直營
新北市新莊區富國路55號1樓,"25.0260988,121.4194483",新莊富國(服務中心),直營
新北市新莊區新泰路280號,"25.0404534,121.4457698",新莊球場(服務中心),直營
新北市新莊區化成路205號之1,"25.0510748,121.4660047",新莊化成(服務中心),直營
新北市新莊區新泰路38號,"25.0342584,121.44961149999995",新莊新泰(服務中心),直營
新北市新莊區幸福路18號,"25.0495164,121.45898299999999",大呼小叫-新莊_幸福三(特約服務中心),特約
新北市新莊區富國路121號,"25.024695,121.424264",大呼小叫-新莊_富國三(特約服務中心),特約
新北市泰山區明志路三段189號,"25.038972,121.4242961",泰山明新(服務中心),直營
新北市泰山區泰林路二段183號,"25.0610589,121.4334892",泰山泰林(服務中心),直營
新北市三重區重新路二段3號1樓,"25.0629189,121.49903399999994",三重重新(服務中心),直營
新北市三重區中正北路346號,"25.0692654,121.47764919999997",三重中正北(服務中心),直營
新北市三重區正義北路155號,"25.0670965,121.49661470000001",三重正義北(服務中心),直營
新北市三重區三和路二段14之2號1樓、2樓,"25.0671497,121.5009174",三重三和(服務中心)2,直營
新北市三重區五華街69號,"25.0827083,121.4925313",三重五華(服務中心),直營
新北市三重區三和路四段209號,"25.0795588,121.48173599999996",大呼小叫-三重_三和二(特約服務中心)2,特約
新北市林口區仁愛路二段18號,"25.0761595,121.3856099",林口仁愛(服務中心),直營
新北市蘆洲區中山二路118號,"25.0817093,121.4721669",蘆洲中山(服務中心),直營
新北市蘆洲區民族路129號,"25.0873383,121.47968909999997",蘆洲民族(服務中心),直營
新北市蘆洲區光華路105號1樓,"25.0825353,121.4670035",蘆洲光華(服務中心),直營
新北市蘆洲區長榮路282號,"25.0866679,121.460029",蘆洲長榮(服務中心),直營
新北市蘆洲區長安街158號,"25.082846,121.45959849999997",大呼小叫-蘆洲_長安(特約服務中心)2,特約
新北市五股區成泰路二段174號,"25.0838646,121.43814700000007",大呼小叫-五股_成泰(特約服務中心)2,特約
新北市淡水區英專路8號,"25.1692426,121.44538579999994",淡水英專(服務中心),直營
新北市淡水區民族路14號,"25.1366152,121.4608337",淡水竹圍(服務中心),直營
新北市淡水區中山北路一段76號,"25.1761002,121.4422363",淡水中山北(服務中心),直營
宜蘭縣宜蘭市中山路三段27號,"24.7559829,121.7521243",宜蘭中山(服務中心),直營
宜蘭縣羅東鎮興東路74號1-3樓,"24.6792205,121.76894089999996",宜蘭羅東(服務中心),直營
宜蘭縣羅東鎮興東南路305號,"24.6745984,121.76735389999999",羅東_興東南(特約服務中心)2,特約
宜蘭縣蘇澳鎮中山路一段22號1樓,"24.5961287,121.8526068",蘇澳_中山(特約服務中心),特約
新竹市東區中央路166-2號,"24.8085237,120.97360079999999",新竹中央(服務中心),直營
新竹市東區南大路345號1樓,"24.7974355,120.96950319999996",新竹南大(服務中心),直營
新竹市東區光復路一段193號,"24.7817341,121.021797",新竹光復(服務中心),直營
新竹市東區林森路69號,"24.8012296,120.9677104",新竹林森(服務中心),直營
新竹市東區光復路二段198號,"24.7940528,121.0003509",新竹_光復三(特約服務中心),特約
新竹市北區中正路249號,"24.8128232,120.9638409",新竹中正(服務中心),直營
新竹市北區西大路442號,"24.804129,120.96369600000003",新竹_西大(特約服務中心)3,特約
新竹縣湖口鄉中山路二段162號,"24.9029106,121.0443743",湖口_站前(特約服務中心),特約
新竹縣竹北市三民路342號1樓,"24.8348802,121.0089185",竹北三民(服務中心),直營
新竹縣竹北市縣政九路157-1號,"24.828336,121.010371",竹北縣政(服務中心),直營
新竹縣竹東鎮長春路三段180號,"24.7436994,121.0834649",竹東長春(服務中心),直營
新竹縣竹東鎮長春路二段4號,"24.7371297,121.0890359",竹東_長春(特約服務中心),特約
桃園市中壢區中華路一段230號,"24.9732285,121.2587953",內壢中華(服務中心),直營
桃園市中壢區元化路二段9號,"24.962417,121.2225863",元化新生(服務中心),直營
桃園市中壢區復興路73號,"24.956332,121.2247313",中壢復興(服務中心),直營
桃園市中壢區中山東路二段96號,"24.9533812,121.2384862",中壢中山東(服務中心),直營
桃園市中壢區健行路161號,"24.9488126,121.2275734",中壢健行(服務中心),直營
桃園市中壢區龍東路303號,"24.9315839,121.2547963",中壢_龍東(特約服務中心)2,特約
桃園市中壢區元化路1號,"24.9561121,121.22711700000002",中壢_元化(特約服務中心),特約
桃園市中壢區中正路310號1樓,"24.9553685,121.21782780000001",中壢_中正(特約服務中心)2,特約
桃園市中壢區忠孝路59號,"24.9737388,121.25625309999998",內壢_忠孝 (特約服務中心)2,特約
桃園市中壢區榮民路99號1樓,"24.968222,121.2608173",內壢_榮民(特約服務中心),特約
桃園市平鎮區中豐路山頂段178號,"24.9001304,121.2110425",平鎮中豐(服務中心),直營
桃園市平鎮區和平路178號,"24.9466039,121.219641",平鎮和平(服務中心),直營
桃園市龍潭區北龍路186號1樓,"24.866619,121.21540400000004",龍潭_北龍(特約服務中心)1,特約
桃園市楊梅區中興路28號,"24.9186259,121.1841371",楊梅中興(服務中心),直營
桃園市楊梅區大成路145號,"24.9114,121.1457669",楊梅_大成(特約服務中心)4,特約
桃園市龜山區文化二路65號,"25.056235, 121.367929",龜山文化(服務中心),直營
桃園市龜山區中興路378號,"24.99269,121.3360973",龜山中興(服務中心),直營
桃園市龜山區萬壽路一段238號,"25.0178754,121.4046813",迴龍_萬壽(特約服務中心)2,特約
桃園市龜山區萬壽路二段1155號1樓,"24.9935624,121.3327464",龜山_萬壽(特約服務中心)5,特約
